layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.026903,0.688514,0.758245,0.768619,1.260424
1,25.641321,12.651434,25.077625,17.741228,30.166079
2,31.309597,12.780977,31.151524,21.306726,33.894268
3,42.269627,16.458599,35.607800,28.795973,45.945972
4,48.344189,19.326149,37.286251,32.942963,53.034611
5,57.543289,19.413923,42.696457,38.764088,60.674171
6,55.990788,17.405479,41.879993,37.608356,57.152016
7,57.769062,17.186800,47.556767,38.778458,58.581013
8,61.440517,16.426825,50.277954,41.258640,58.427502
9,66.119392,16.386061,53.122208,44.375782,58.995567
10,72.212769,16.133039,60.612125,48.353889,62.828491
11,80.674957,16.576603,70.841782,54.087265,69.695862
12,83.022186,18.137901,70.720711,55.672356,73.163025
13,84.407295,19.633841,74.633682,56.593719,76.725922
14,89.471733,20.911419,81.211563,59.987873,82.496918
15,89.996155,22.031830,87.575600,60.426498,85.260994
16,94.132126,23.020102,95.028397,63.357605,87.134727
17,97.772514,24.293032,97.255814,65.895889,88.127106
18,103.387505,26.574795,104.954483,69.719261,93.485451
19,112.775185,28.943583,122.883698,76.021271,102.395912
20,126.095688,31.692535,133.706573,84.685440,112.124130
21,147.655212,30.483816,141.623932,98.854904,124.752090
22,174.908752,37.825932,187.668747,117.271225,144.728363
23,226.850235,36.419151,211.788742,151.869034,178.055542
24,248.840927,47.183460,253.949478,166.813141,202.738892
25,286.509064,57.321445,349.865662,192.212021,240.611130
26,323.110229,69.466789,381.927734,216.838135,283.547943
27,368.328247,81.481224,511.336365,247.289169,329.337311
28,60.592453,17.201674,101.697296,40.966080,57.883282
