prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Germany is, ,0.644531,5,902.53,5.5710,3.1090,1.0934,104.4073,96.2463,150.2947,0.840593,0.920123,1680.7874
1,Die Hauptstadt von Deutschland ist, ein,0.111816,6,47.22,9.5198,9.4101,1.2447,99.5695,91.3277,150.1498,0.848283,0.915188,2008.0291
2,La capitale de l'Allemagne est, le,0.140625,10,52.88,6.4105,5.9820,1.2537,93.5368,66.0695,133.7455,0.841197,0.918600,1992.7449
3,La capital de Alemania es, ,0.437500,6,34.34,7.1133,6.8578,1.2723,96.1837,90.5086,152.7405,0.839186,0.917371,1937.1904
4,La capitale della Germania è, ,0.484375,7,33.66,6.1724,4.7429,1.2057,94.7650,81.4887,147.4867,0.846664,0.921184,2010.2268
5,A capital da Alemanha é, ,0.168945,7,33.26,7.4842,9.2626,1.2380,97.0143,75.2050,141.1366,0.840500,0.914646,2037.6704
6,Столица Германии —, Г,0.300781,9,33.53,7.6869,7.1560,1.1303,97.3545,71.1935,134.1470,0.838360,0.906637,2036.0706
7,ドイツの首都は,$,0.326172,4,175.73,8.5072,7.5137,0.9433,100.8766,125.5270,191.0424,0.851353,0.916056,2091.7053
8,德国的首都是,哪里,0.079102,4,32.72,10.7878,9.0725,1.0822,98.4479,111.5731,170.0724,0.855268,0.925898,2017.3538
9,독일의 수도는, ,0.150391,5,32.84,11.1506,10.2770,0.9504,97.1709,95.2541,165.0610,0.852781,0.918509,2012.7480
10,Hoofdstad van Duitsland is, a,0.287109,9,33.23,8.2528,6.3848,1.2683,95.3552,65.3138,125.2709,0.830658,0.917044,1888.7725
11,Tysklands huvudstad är, ,0.781250,9,33.16,6.9905,2.6066,1.2780,96.6216,68.2724,131.1634,0.836462,0.913975,1935.0765
