prompt_idx,token_pos,token_text,delta_000_to_001,delta_001_to_002,delta_002_to_003,delta_003_to_004,delta_004_to_005,delta_005_to_006,delta_006_to_007,delta_007_to_008,delta_008_to_009,delta_009_to_010,delta_010_to_011,delta_011_to_012,delta_012_to_013,delta_013_to_014,delta_014_to_015,delta_015_to_016,delta_016_to_017,delta_017_to_018,delta_018_to_019,delta_019_to_020,delta_020_to_021,delta_021_to_022,delta_022_to_023,delta_023_to_024,delta_024_to_025,delta_025_to_026,delta_026_to_027,delta_027_to_028
0,0,The,53.506107330322266,1960.8221435546875,2590.25537109375,37.58491134643555,109.85747528076172,45.16414260864258,39.16677474975586,41.808536529541016,40.19333267211914,27.295427322387695,27.078845977783203,25.065561294555664,21.228303909301758,28.592445373535156,18.860382080078125,13.845632553100586,21.337465286254883,22.121902465820312,17.960573196411133,16.589462280273438,32.41783905029297,33.709747314453125,39.78955078125,61.735958099365234,135.9348907470703,432.3068542480469,2400.96484375,2097.98486328125
0,1, capital,34.50568389892578,19.2569637298584,37.46393585205078,18.552448272705078,27.79716682434082,23.37462043762207,30.988779067993164,30.587764739990234,28.754913330078125,30.97725486755371,29.47486114501953,33.03097152709961,30.326356887817383,26.73343276977539,24.831470489501953,23.551294326782227,21.740283966064453,26.367095947265625,31.541767120361328,54.72468566894531,39.48966979980469,92.7202377319336,68.97188568115234,139.8663787841797,115.2208251953125,102.57811737060547,182.8831024169922,489.3480224609375
0,2, of,29.915271759033203,20.764341354370117,34.3056755065918,24.46097183227539,32.23311996459961,27.006746292114258,32.96440505981445,33.32313537597656,36.552734375,39.47609329223633,36.28286361694336,35.4395637512207,29.654685974121094,33.84133529663086,27.510196685791016,24.465295791625977,24.577449798583984,29.903732299804688,41.81113052368164,57.445743560791016,53.25526809692383,92.47899627685547,84.07938385009766,93.04967498779297,106.09907531738281,128.24391174316406,171.9722442626953,483.9090576171875
0,3, Germany,40.052398681640625,20.908411026000977,23.669403076171875,26.970434188842773,37.00600814819336,26.99638557434082,25.642763137817383,28.198204040527344,26.47429084777832,30.691659927368164,28.073959350585938,37.892086029052734,29.6549015045166,33.981910705566406,30.199962615966797,28.85943031311035,26.4273681640625,32.868614196777344,35.98447799682617,54.00196075439453,44.26874923706055,68.26405334472656,63.80094528198242,69.68204498291016,101.61070251464844,85.179931640625,93.86608123779297,351.9978332519531
0,4, is,30.571928024291992,16.444622039794922,20.538766860961914,23.65854835510254,28.38356590270996,24.621015548706055,28.035221099853516,27.72955322265625,40.891883850097656,38.13759994506836,36.12538146972656,37.42436981201172,30.291406631469727,42.51011657714844,35.119346618652344,35.641746520996094,34.598167419433594,37.70233154296875,43.22280502319336,50.1438102722168,55.28901290893555,90.99152374267578,82.97874450683594,82.61445617675781,109.69984436035156,106.39264678955078,146.3664093017578,344.6624755859375
1,0,Die,42.77778625488281,2234.001708984375,2778.7548828125,37.66103744506836,109.79048919677734,44.45720672607422,39.271175384521484,41.9516487121582,40.21824645996094,27.354217529296875,27.228933334350586,25.411048889160156,21.37253761291504,28.637537002563477,18.972909927368164,14.221567153930664,21.38555908203125,22.209793090820312,18.050159454345703,16.584840774536133,28.33881187438965,33.841495513916016,38.9781494140625,63.79428482055664,137.1524658203125,434.405517578125,2477.091064453125,2460.987548828125
1,1, Haupt,38.27732849121094,27.05409049987793,31.76719093322754,27.764986038208008,50.161033630371094,29.735898971557617,28.980560302734375,30.874649047851562,26.763751983642578,27.277647018432617,27.167287826538086,28.49835777282715,27.079992294311523,25.346569061279297,27.18022346496582,24.312589645385742,27.235090255737305,26.455747604370117,27.508359909057617,55.50493621826172,48.83505630493164,86.0042495727539,83.7746810913086,169.04649353027344,126.08106231689453,155.14671325683594,169.16184997558594,398.5776672363281
1,2,stadt,40.07870101928711,24.233678817749023,35.045040130615234,43.81789016723633,44.291778564453125,33.725582122802734,34.69780349731445,33.13056182861328,32.78252029418945,33.0053825378418,30.019512176513672,27.954524993896484,26.834197998046875,31.373992919921875,32.95632553100586,30.084871292114258,25.050430297851562,30.72189712524414,36.53738021850586,58.493892669677734,42.88063430786133,69.98602294921875,65.58995819091797,81.4845962524414,117.06890106201172,110.21651458740234,150.90025329589844,385.7231140136719
1,3, von,40.14229202270508,23.707340240478516,32.39213943481445,30.26766586303711,34.28937530517578,26.02924919128418,28.986404418945312,28.809926986694336,33.2608642578125,32.03955841064453,31.52318572998047,28.878990173339844,26.079193115234375,33.46836471557617,32.77875518798828,33.97340774536133,30.026508331298828,29.97069549560547,37.12797164916992,47.97161865234375,47.652408599853516,107.57821655273438,80.74116516113281,81.97200775146484,104.71244812011719,125.60639190673828,165.85452270507812,443.0833740234375
1,4, Deutschland,42.53179168701172,24.492300033569336,29.010286331176758,25.802093505859375,32.16374206542969,27.16836929321289,25.441617965698242,31.037429809570312,23.14801597595215,26.121910095214844,27.867082595825195,31.77335548400879,30.142900466918945,28.419044494628906,26.529207229614258,29.72871971130371,24.87945556640625,27.04669952392578,34.348873138427734,53.15009689331055,41.48590087890625,86.36125946044922,73.2018051147461,75.835693359375,113.25593566894531,83.19537353515625,154.14955139160156,403.70367431640625
1,5, ist,37.69914245605469,31.72799301147461,25.319833755493164,28.141069412231445,29.623075485229492,25.98705291748047,30.118696212768555,31.53888702392578,29.913864135742188,31.74819564819336,35.0955696105957,32.22804260253906,32.942543029785156,37.81549835205078,33.867645263671875,34.84625244140625,29.33604621887207,39.16317367553711,44.53421401977539,47.61563491821289,58.477882385253906,97.9717025756836,72.03362274169922,105.53582763671875,119.30549621582031,160.9842529296875,250.7407989501953,473.71697998046875
