layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.375990,0.147746,0.443779,0.920356,1.073693
1,42.318501,3.977306,19.622831,28.358204,32.592587
2,50.813042,5.445681,26.400789,34.023941,42.623062
3,60.614326,9.182321,31.542389,40.537800,57.273769
4,69.948151,10.307460,36.622063,46.758732,65.975609
5,75.951317,11.391760,41.781277,50.739723,72.937981
6,72.361259,11.397578,39.371166,48.314659,70.533188
7,73.202873,13.088206,40.134724,48.852577,73.364792
8,74.236832,15.059916,42.455769,49.467129,73.923096
9,79.820831,13.812575,48.400990,53.307209,73.857040
10,84.287796,13.865155,54.363853,56.304516,79.082283
11,90.385925,12.797338,62.282978,60.478130,80.869850
12,90.123344,12.596480,61.957130,60.301189,79.485519
13,91.409637,12.745715,64.444344,61.148674,80.284348
14,99.001228,13.397847,74.169357,66.227310,86.056602
15,99.013107,13.581292,77.152367,66.193039,86.950409
16,100.571754,14.051702,81.475075,67.219772,88.866165
17,104.842216,15.307128,83.440361,70.053085,88.942665
18,109.802605,16.023272,87.887894,73.426956,92.389946
19,116.379013,17.580378,98.750031,77.844749,97.140892
20,127.929321,18.075420,103.879326,85.561646,103.554390
21,145.571365,20.754557,116.609879,97.385086,127.389809
22,180.030350,24.048155,162.261261,120.687340,151.209091
23,216.647888,30.983290,177.942581,145.154663,191.766632
24,268.218567,41.698902,212.291702,179.592377,228.595337
25,330.720215,41.075302,276.696625,221.699005,258.163269
26,406.642548,46.190395,315.389008,272.617249,303.282410
27,505.613617,53.351147,416.197144,338.996796,397.515930
28,126.375954,13.495648,50.264935,84.808395,94.875450
