prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028
0,0,To,0.9542946219444275,52.59134292602539,2123.207763671875,4693.1298828125,4704.4140625,4806.28369140625,4822.8125,4847.90673828125,4873.15625,4899.30712890625,4915.40185546875,4931.66552734375,4939.34619140625,4947.2978515625,4962.90087890625,4971.03759765625,4971.1962890625,4963.220703125,4955.21484375,4955.27783203125,4955.12060546875,4938.83642578125,4934.86279296875,4909.9052734375,4866.47314453125,4759.70166015625,4400.357421875,2243.84619140625,108.87935638427734
0,1, be,1.1299887895584106,35.25448226928711,40.51355743408203,48.395713806152344,59.73093795776367,73.87571716308594,66.0611801147461,67.41381072998047,72.64156341552734,80.97776794433594,89.1129379272461,90.20247650146484,91.09601593017578,89.06159210205078,93.5533218383789,100.5325698852539,100.25141143798828,104.2213134765625,112.72248077392578,122.32394409179688,149.18862915039062,170.82666015625,210.0900421142578,243.26246643066406,287.5843505859375,344.92755126953125,386.5675964355469,540.190185546875,105.63916015625
0,2, or,1.193074345588684,37.049217224121094,44.28818893432617,56.767425537109375,60.645225524902344,68.83814239501953,71.97229766845703,74.31695556640625,85.25961303710938,88.19158935546875,90.17046356201172,97.80365753173828,97.86772918701172,100.81757354736328,111.5618896484375,117.58377075195312,115.84124755859375,115.34283447265625,120.62787628173828,128.89035034179688,158.11676025390625,174.86123657226562,199.7316436767578,233.20433044433594,278.3262634277344,348.4437255859375,374.0156555175781,501.1811218261719,92.04244232177734
0,3, not,1.1897640228271484,36.29733657836914,42.821956634521484,52.026512145996094,56.09912109375,61.083248138427734,73.12614440917969,80.07881927490234,85.52337646484375,94.68785858154297,104.2229232788086,111.0825424194336,116.6534652709961,119.1185302734375,120.78710174560547,126.84919738769531,130.57814025878906,133.9927978515625,140.2207794189453,148.69757080078125,176.56675720214844,189.05474853515625,215.58189392089844,241.4071044921875,278.8481750488281,359.8404846191406,381.80755615234375,484.3218688964844,84.52901458740234
0,4, to,1.132793664932251,31.692630767822266,37.2446403503418,49.00236892700195,55.15430450439453,60.318572998046875,60.457725524902344,62.30305099487305,66.34516143798828,79.7784652709961,91.47647094726562,100.22445678710938,105.38652801513672,102.76679229736328,101.10059356689453,104.55138397216797,107.65501403808594,109.38121032714844,115.67545318603516,127.24175262451172,147.66766357421875,153.9702606201172,194.77772521972656,223.20875549316406,263.1334228515625,343.29388427734375,371.96722412109375,477.58154296875,101.9100570678711
1,0,I,1.1552419662475586,58.493133544921875,1816.0362548828125,4360.09130859375,4371.849609375,4473.76708984375,4490.60595703125,4515.6650390625,4541.0869140625,4567.4609375,4583.734375,4599.912109375,4608.07421875,4616.10400390625,4631.822265625,4640.03271484375,4640.1806640625,4632.24609375,4624.1611328125,4624.27392578125,4624.10693359375,4615.62890625,4611.8564453125,4587.03857421875,4543.6025390625,4444.83447265625,4093.700927734375,2027.585205078125,113.72557067871094
1,1, think,1.1751331090927124,38.49684524536133,41.85911560058594,50.28497314453125,53.11165237426758,68.07186126708984,71.68265533447266,78.83245849609375,82.13402557373047,83.44523620605469,84.62158203125,87.97744750976562,90.75121307373047,92.64637756347656,96.0246353149414,99.48140716552734,100.30784606933594,106.79942321777344,118.57061004638672,129.75279235839844,155.5317840576172,181.38027954101562,220.12716674804688,257.93328857421875,315.8810119628906,387.89654541015625,449.6231689453125,547.5365600585938,134.56582641601562
1,2, therefore,1.3172560930252075,41.68003845214844,49.46876907348633,52.84761047363281,57.646759033203125,65.9087905883789,64.27698516845703,66.36965942382812,71.65545654296875,75.4505844116211,78.51742553710938,81.26876831054688,83.04045867919922,84.36552429199219,95.36666870117188,100.24852752685547,108.3003158569336,112.77049255371094,120.2454605102539,140.3050079345703,164.06114196777344,183.9728240966797,244.78729248046875,282.2642517089844,345.7907409667969,421.6553039550781,477.85382080078125,563.608154296875,132.7700958251953
1,3, I,1.1775568723678589,31.453533172607422,38.86049270629883,45.66965103149414,52.962581634521484,61.94606399536133,62.66598892211914,65.75357055664062,71.49092864990234,77.50023651123047,88.77456665039062,89.10148620605469,86.95419311523438,88.83424377441406,97.44661712646484,103.44144439697266,108.94269561767578,112.59567260742188,116.63623046875,134.70855712890625,155.2511444091797,179.80577087402344,228.99295043945312,265.1387939453125,314.41131591796875,385.3619689941406,455.3109130859375,582.2523193359375,121.352783203125
2,0,One,1.0483894348144531,44.33551788330078,1674.3328857421875,4313.27392578125,4325.0283203125,4427.1083984375,4444.1142578125,4461.33544921875,4486.67822265625,4513.046875,4529.40478515625,4545.7890625,4553.70654296875,4561.6015625,4577.30419921875,4585.4951171875,4585.6337890625,4577.66064453125,4569.568359375,4569.689453125,4569.5126953125,4553.09326171875,4549.48876953125,4524.54833984375,4481.18603515625,4381.9052734375,4034.4365234375,1963.6268310546875,98.35095977783203
