layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.021213,0.000000,0.000000
1,15.120677,4.631187,34.184406,10.134441,16.867487
2,20.628244,5.113408,39.652195,13.805811,20.587065
3,24.143675,5.037190,43.802002,16.074718,22.957207
4,34.741459,6.577299,48.875774,23.159348,29.791979
5,53.607861,6.317640,52.326073,35.517990,42.539898
6,53.235588,5.241683,50.863476,35.262840,39.172825
7,54.942940,5.056829,56.174923,36.384018,39.923512
8,57.836880,5.542666,58.756306,38.280441,42.369839
9,58.363331,5.516693,58.920670,38.617065,43.808201
10,61.662434,5.383321,64.769066,40.781548,46.090542
11,61.376225,5.428824,71.228760,40.584419,46.703068
12,65.541153,5.689813,73.974319,43.353760,50.305717
13,63.561127,5.440590,75.452087,42.051224,47.690899
14,69.944695,5.896332,86.093781,46.296722,50.596313
15,66.770218,5.619871,89.185867,44.183380,49.030926
16,68.206383,5.867514,98.885155,45.133698,50.118122
17,67.814049,5.784430,96.872528,44.901802,49.140480
18,69.929375,5.747401,100.142792,46.309532,50.425179
19,79.265945,7.268056,111.477226,52.483654,58.835773
20,90.698624,9.585971,139.028625,60.022362,68.573135
21,112.248047,11.055564,156.191254,74.264809,83.806297
22,147.385605,12.587439,197.101746,97.514633,113.710037
23,193.957291,16.884394,216.571548,128.412506,145.664032
24,241.701401,18.476852,248.502396,159.949280,179.795975
25,306.666504,28.815647,300.572876,202.935593,236.379120
26,356.545410,33.570087,353.898987,235.862671,274.867157
27,400.075470,36.700283,449.040497,264.664886,308.149872
28,91.226585,10.344019,82.450005,60.326260,73.283966
