prompt_idx,token_pos,token_text,delta_000_to_001,delta_001_to_002,delta_002_to_003,delta_003_to_004,delta_004_to_005,delta_005_to_006,delta_006_to_007,delta_007_to_008,delta_008_to_009,delta_009_to_010,delta_010_to_011,delta_011_to_012,delta_012_to_013,delta_013_to_014,delta_014_to_015,delta_015_to_016,delta_016_to_017,delta_017_to_018,delta_018_to_019,delta_019_to_020,delta_020_to_021,delta_021_to_022,delta_022_to_023,delta_023_to_024,delta_024_to_025,delta_025_to_026,delta_026_to_027,delta_027_to_028
0,0,The,53.475990295410156,1960.061767578125,2594.26123046875,37.55316925048828,109.77413177490234,45.13739776611328,39.16450881958008,41.79924392700195,40.20384979248047,27.285152435302734,27.109573364257812,25.095735549926758,21.23845863342285,28.610034942626953,18.854251861572266,13.885248184204102,21.347061157226562,22.108755111694336,17.994108200073242,16.57317352294922,32.389976501464844,33.7136344909668,39.76818084716797,61.75783157348633,136.03224182128906,432.4000549316406,2399.883544921875,2100.587646484375
0,1, dogs,43.131103515625,19.86958122253418,40.2695198059082,25.014490127563477,28.00234031677246,26.374553680419922,26.809654235839844,29.58514404296875,26.931135177612305,26.225248336791992,27.29357147216797,29.357624053955078,24.495834350585938,25.598960876464844,25.044057846069336,22.261014938354492,23.74901008605957,26.34792709350586,30.33746910095215,62.45347213745117,39.139129638671875,68.82379913330078,62.51262664794922,80.09674072265625,102.32024383544922,111.52279663085938,161.1566925048828,326.8785705566406
0,2, are,32.926971435546875,17.14307975769043,23.036592483520508,25.787813186645508,32.02602767944336,26.1494197845459,33.20488739013672,33.3824462890625,39.46975326538086,40.992855072021484,37.60939407348633,31.80051612854004,28.72662353515625,37.68819046020508,29.42362403869629,30.16857147216797,27.64481544494629,28.827943801879883,40.89494705200195,44.05028533935547,55.04883575439453,95.24791717529297,90.74703216552734,113.1207504272461,154.41995239257812,155.05108642578125,207.5087127685547,391.2863464355469
0,3, running,38.30131530761719,19.881860733032227,21.400592803955078,30.301977157592773,45.295135498046875,35.6653938293457,32.46788024902344,33.76188659667969,31.636289596557617,33.033721923828125,30.808013916015625,32.15760803222656,27.720016479492188,36.14625930786133,30.929197311401367,33.924720764160156,25.16927146911621,31.6813907623291,41.32136917114258,50.47582244873047,60.59352493286133,73.022705078125,82.69856262207031,86.52932739257812,136.80323791503906,106.45003509521484,186.9755859375,359.5563659667969
0,4, in,35.47776412963867,18.708003997802734,20.871835708618164,22.640480041503906,43.96997833251953,35.23663330078125,41.63772964477539,38.53063201904297,39.27200698852539,34.23553466796875,31.534461975097656,32.00065994262695,28.09886932373047,35.56618118286133,30.285442352294922,35.78504180908203,29.256832122802734,33.302127838134766,44.46247863769531,56.98659133911133,63.33474349975586,79.51901245117188,97.06392669677734,103.18080139160156,159.48170471191406,141.59693908691406,220.4953155517578,389.4714050292969
0,5, the,35.71006393432617,16.358057022094727,21.753496170043945,23.78734016418457,35.143287658691406,26.840085983276367,32.6212158203125,32.276268005371094,31.563926696777344,31.283493041992188,27.931324005126953,28.2241153717041,25.032014846801758,35.39116668701172,27.182666778564453,30.100934982299805,23.867918014526367,26.52268409729004,40.46778106689453,53.49606704711914,55.87077331542969,74.69117736816406,98.43838500976562,99.272705078125,135.12664794921875,149.736328125,187.27696228027344,389.7091369628906
1,0,The,53.475990295410156,1960.061767578125,2594.26123046875,37.55316925048828,109.77413177490234,45.13739776611328,39.16450881958008,41.79924392700195,40.20384979248047,27.285152435302734,27.109573364257812,25.095735549926758,21.23845863342285,28.610034942626953,18.854251861572266,13.885248184204102,21.347061157226562,22.108755111694336,17.994108200073242,16.57317352294922,32.389976501464844,33.7136344909668,39.76818084716797,61.75783157348633,136.03224182128906,432.4000549316406,2399.883544921875,2100.587646484375
1,1, cats,40.40264129638672,19.534122467041016,28.886808395385742,29.033367156982422,29.63614845275879,26.547990798950195,26.375518798828125,29.174884796142578,25.8724365234375,28.699783325195312,21.211816787719727,24.918384552001953,21.411401748657227,22.39381217956543,20.871307373046875,21.9194278717041,21.752277374267578,26.043594360351562,29.741239547729492,58.92597579956055,37.10931396484375,76.30352783203125,55.8621826171875,85.17224884033203,99.63174438476562,97.77579498291016,133.79466247558594,402.891845703125
1,2, are,32.76609420776367,17.239606857299805,23.567317962646484,25.045822143554688,33.96348571777344,25.15458869934082,30.23406982421875,30.043819427490234,35.791072845458984,34.82541275024414,33.1348991394043,31.345806121826172,26.436126708984375,33.17873764038086,31.57032012939453,31.558563232421875,28.67978286743164,30.729400634765625,46.1386833190918,51.2288932800293,61.59236526489258,99.0547103881836,81.92115783691406,118.46273040771484,141.3872833251953,117.84661865234375,180.7637176513672,518.705810546875
1,3, sleeping,38.94367218017578,18.30586814880371,36.74774932861328,25.01640510559082,41.44120788574219,33.0444221496582,31.18235969543457,32.362945556640625,31.496763229370117,29.692935943603516,29.86493682861328,31.803844451904297,27.962915420532227,36.20663070678711,34.543880462646484,36.9503173828125,31.19831657409668,34.633548736572266,37.65299987792969,66.12223815917969,45.62187957763672,71.80952453613281,78.14872741699219,91.62420654296875,120.71483612060547,95.55489349365234,161.88059997558594,409.6151428222656
