prompt_idx,token_pos,token_text,delta_000_to_001,delta_001_to_002,delta_002_to_003,delta_003_to_004,delta_004_to_005,delta_005_to_006,delta_006_to_007,delta_007_to_008,delta_008_to_009,delta_009_to_010,delta_010_to_011,delta_011_to_012,delta_012_to_013,delta_013_to_014,delta_014_to_015,delta_015_to_016,delta_016_to_017,delta_017_to_018,delta_018_to_019,delta_019_to_020,delta_020_to_021,delta_021_to_022,delta_022_to_023,delta_023_to_024,delta_024_to_025,delta_025_to_026,delta_026_to_027,delta_027_to_028
0,0,This,55.90361404418945,2642.81591796875,2716.07080078125,35.0593376159668,106.43135070800781,43.352169036865234,39.570045471191406,41.991939544677734,40.36093521118164,27.551809310913086,27.200227737426758,25.300697326660156,21.048269271850586,28.61683464050293,18.88315200805664,13.784272193908691,21.34054183959961,22.079008102416992,17.482303619384766,16.210277557373047,27.84473991394043,33.956520080566406,48.468101501464844,65.40888214111328,136.0718536376953,457.4541320800781,2541.113525390625,2710.48779296875
0,1, movie,37.2734260559082,23.51422119140625,32.376277923583984,21.38594627380371,34.33137893676758,27.40110969543457,29.938589096069336,37.17108917236328,34.44868087768555,29.52618408203125,26.24932861328125,26.864206314086914,21.970781326293945,27.66410255432129,28.90859603881836,23.993595123291016,24.287864685058594,28.044048309326172,29.358379364013672,59.03632736206055,42.89144515991211,66.58139038085938,70.61500549316406,104.3842544555664,94.81488800048828,111.39881134033203,141.3430938720703,430.5251770019531
0,2, was,37.75741958618164,19.84976577758789,23.478254318237305,22.371431350708008,34.676902770996094,29.049419403076172,32.50320053100586,31.184926986694336,36.9576416015625,34.4476318359375,35.54291915893555,32.73888397216797,29.10072135925293,33.23341751098633,28.774919509887695,27.905380249023438,25.728607177734375,31.710411071777344,41.44451904296875,54.19453811645508,69.33064270019531,91.92668914794922,100.91522216796875,124.81440734863281,120.3470458984375,146.83470153808594,195.80726623535156,498.785400390625
0,3, absolutely,35.34486389160156,18.799179077148438,29.264869689941406,31.88019371032715,43.16487503051758,36.85532760620117,33.872825622558594,33.3839225769043,33.150856018066406,32.46435546875,32.55625915527344,31.51192855834961,26.459121704101562,32.10487365722656,29.306541442871094,31.427541732788086,26.567731857299805,32.578128814697266,43.54544448852539,55.93140411376953,65.76846313476562,106.54011535644531,90.0802993774414,101.17937469482422,125.12882995605469,179.53695678710938,221.5492401123047,515.69384765625
0,4, terrible,40.151668548583984,23.164419174194336,26.50077247619629,29.71129035949707,34.776466369628906,25.802631378173828,34.058326721191406,30.250423431396484,33.1804084777832,34.85866165161133,35.140174865722656,35.00410461425781,28.14330291748047,29.956043243408203,28.4567813873291,29.242992401123047,24.53280258178711,30.74169158935547,36.415218353271484,56.5903434753418,54.07963562011719,81.24590301513672,82.90583801269531,77.14017486572266,107.70327758789062,94.82254791259766,160.60919189453125,432.45977783203125
0,5, and,32.582763671875,19.090351104736328,25.537160873413086,22.15973472595215,28.24203872680664,28.628358840942383,32.658382415771484,29.626325607299805,32.239871978759766,34.30428695678711,37.8862190246582,33.11453628540039,33.882469177246094,35.73179626464844,29.45099639892578,29.16697120666504,29.18111228942871,34.07918167114258,46.38783645629883,50.901336669921875,89.40181732177734,103.04015350341797,86.96863555908203,97.86634063720703,133.99964904785156,154.32606506347656,250.88037109375,520.4314575195312
0,6, I,30.780010223388672,17.505041122436523,22.28112030029297,29.032379150390625,25.644641876220703,23.0498046875,29.573585510253906,30.7630672454834,33.53385925292969,31.810932159423828,37.83863830566406,33.92720413208008,31.671634674072266,42.065711975097656,30.51474952697754,31.592010498046875,31.014856338500977,35.484596252441406,44.40546798706055,55.48200988769531,63.69397735595703,95.92649841308594,90.84060668945312,98.03154754638672,126.63516235351562,142.44847106933594,219.08917236328125,499.33673095703125
1,0,I,58.73582458496094,1785.753173828125,2584.548095703125,37.623172760009766,109.56776428222656,45.16133117675781,39.04575729370117,41.763057708740234,40.18070983886719,27.21201515197754,27.0836238861084,25.320465087890625,21.2181396484375,28.569730758666992,18.902555465698242,13.775915145874023,21.361289978027344,22.192794799804688,17.991252899169922,16.521678924560547,28.132545471191406,33.37025451660156,39.49987030029297,61.733646392822266,126.99933624267578,421.01763916015625,2323.072021484375,2002.8221435546875
1,1, am,42.34489059448242,21.615942001342773,30.030290603637695,27.284250259399414,30.661943435668945,26.860336303710938,29.522655487060547,28.314786911010742,22.92177391052246,28.46266746520996,24.731637954711914,26.937042236328125,21.09062385559082,28.77610969543457,25.502885818481445,24.115571975708008,23.36544418334961,34.831016540527344,40.71491622924805,71.2148208618164,60.76457595825195,92.1505355834961,83.23785400390625,90.91770935058594,117.26156616210938,111.3992919921875,202.4796905517578,554.6319580078125
1,2, so,35.960716247558594,34.185340881347656,33.26448440551758,40.33940505981445,42.16852569580078,29.953243255615234,33.978309631347656,34.544166564941406,30.368249893188477,30.569744110107422,27.090768814086914,25.780271530151367,26.79589080810547,27.171533584594727,28.663633346557617,30.007686614990234,29.403696060180664,38.437744140625,46.042362213134766,61.861141204833984,58.10329055786133,88.89798736572266,87.91617584228516,117.46331787109375,156.05941772460938,145.26280212402344,207.15151977539062,549.1633911132812
1,3, incredibly,39.94709777832031,21.225725173950195,28.378873825073242,38.1203727722168,41.92369842529297,31.011171340942383,31.129196166992188,31.14443016052246,28.01874542236328,24.761409759521484,21.355417251586914,27.56142807006836,27.064380645751953,34.02151107788086,27.72160530090332,38.50548553466797,34.51473617553711,35.27187728881836,45.363765716552734,63.81514358520508,55.85883712768555,85.43272399902344,82.48262023925781,92.06266784667969,150.51129150390625,129.0360565185547,198.27247619628906,479.19781494140625
1,4, sad,38.372894287109375,21.540090560913086,24.5804386138916,40.27743911743164,36.284854888916016,46.229095458984375,36.32155227661133,34.52260971069336,35.57320785522461,31.973770141601562,27.967647552490234,31.49051856994629,26.432138442993164,31.266511917114258,27.676103591918945,27.278051376342773,29.05573272705078,31.211069107055664,37.12540817260742,63.85719680786133,50.617340087890625,74.32148742675781,73.82498931884766,81.7560806274414,102.12266540527344,106.91232299804688,149.5294952392578,445.4277038574219
1,5, because,32.87058639526367,18.20035743713379,21.6977596282959,23.933900833129883,25.30594825744629,23.709819793701172,29.005672454833984,31.322004318237305,34.83126449584961,42.80141067504883,36.339683532714844,33.464542388916016,28.73600959777832,38.164833068847656,29.772079467773438,31.95977210998535,31.048734664916992,31.93456268310547,40.26802444458008,54.31243896484375,60.02510070800781,92.93838500976562,79.14002227783203,94.7631607055664,104.5292739868164,139.0048828125,175.56971740722656,524.9485473632812
2,0,The,53.475990295410156,1960.061767578125,2594.26123046875,37.55316925048828,109.77413177490234,45.13739776611328,39.16450881958008,41.79924392700195,40.20384979248047,27.285152435302734,27.109573364257812,25.095735549926758,21.23845863342285,28.610034942626953,18.854251861572266,13.885248184204102,21.347061157226562,22.108755111694336,17.994108200073242,16.57317352294922,32.389976501464844,33.7136344909668,39.76818084716797,61.75783157348633,136.03224182128906,432.4000549316406,2399.883544921875,2100.587646484375
2,1, worst,42.3799934387207,24.725357055664062,24.028488159179688,40.654361724853516,32.966739654541016,23.55185317993164,27.72421646118164,29.39789390563965,31.33211326599121,27.806665420532227,27.268035888671875,25.84078025817871,24.23314666748047,27.745405197143555,25.080984115600586,24.410614013671875,23.35598373413086,34.357635498046875,35.78626251220703,65.92080688476562,43.26468276977539,80.3535385131836,92.26913452148438,89.42822265625,106.06170654296875,91.51628875732422,134.6527099609375,464.2452087402344
2,2, day,32.90655517578125,19.332477569580078,19.817398071289062,31.920495986938477,34.394920349121094,25.298673629760742,37.12177276611328,37.412086486816406,39.098731994628906,34.44496536254883,27.653675079345703,28.375804901123047,27.710466384887695,33.19778060913086,25.43754005432129,26.75156593322754,26.339969635009766,33.95111083984375,41.68259048461914,67.05950164794922,71.18305206298828,75.20342254638672,60.90452575683594,85.20697021484375,104.3314208984375,94.83831787109375,147.11190795898438,422.1806945800781
2,3, of,29.16376495361328,16.73012351989746,23.5682373046875,38.51265335083008,32.823604583740234,26.621395111083984,34.491153717041016,36.56825637817383,41.77437973022461,39.19854736328125,34.88264465332031,31.073726654052734,28.822494506835938,35.68052673339844,31.622434616088867,27.021970748901367,23.44579315185547,28.206287384033203,45.76414108276367,55.31495666503906,66.75472259521484,82.45967102050781,103.3917007446289,86.791748046875,109.44914245605469,122.1084213256836,172.19549560546875,395.56402587890625
2,4, my,31.418752670288086,17.61785125732422,21.9100284576416,25.453922271728516,35.19505310058594,26.79386329650879,29.916549682617188,31.857507705688477,35.565223693847656,30.799518585205078,30.071781158447266,31.247732162475586,27.041736602783203,33.77342224121094,26.81195640563965,27.429216384887695,24.25166130065918,28.255929946899414,43.2462043762207,58.15103530883789,62.933006286621094,97.88316345214844,100.18766784667969,79.95057678222656,137.56668090820312,128.4658660888672,160.48968505859375,412.77032470703125
2,5, life,32.36549377441406,16.369747161865234,28.86470603942871,23.140460968017578,37.843143463134766,28.629589080810547,32.179298400878906,33.074974060058594,37.71885299682617,41.997802734375,38.87053680419922,38.72028732299805,35.982791900634766,36.694618225097656,33.44636154174805,33.358421325683594,31.65848731994629,35.29953384399414,42.591732025146484,55.708919525146484,67.6474609375,89.1871109008789,78.5665054321289,76.4575424194336,123.47671508789062,108.8723373413086,144.84481811523438,322.15509033203125
2,6, was,31.992570877075195,16.89533042907715,21.126401901245117,27.02753448486328,32.48594665527344,27.016557693481445,32.38991928100586,29.836267471313477,37.6801643371582,33.288143157958984,44.39378356933594,40.31509780883789,34.36228942871094,39.231685638427734,36.25614929199219,40.405147552490234,35.142765045166016,38.510746002197266,45.781532287597656,56.31641387939453,76.42819213867188,87.7447738647461,83.54138946533203,82.60379791259766,114.99256134033203,121.30825805664062,148.7908172607422,306.21221923828125
2,7, when,29.579355239868164,17.325719833374023,21.226850509643555,26.80160140991211,31.34432029724121,24.599576950073242,32.4924430847168,30.902494430541992,41.777374267578125,38.13665771484375,45.03310012817383,39.720611572265625,33.22090148925781,37.13609313964844,32.08468246459961,37.43450927734375,35.66638946533203,34.794490814208984,42.89264678955078,57.03213882446289,59.066402435302734,83.34951782226562,78.47745513916016,87.16241455078125,108.09239196777344,95.4932632446289,128.16964721679688,305.20550537109375
2,8, I,37.23126983642578,17.812002182006836,22.076656341552734,26.730426788330078,27.577476501464844,28.1638126373291,33.965736389160156,30.998842239379883,28.112319946289062,31.030981063842773,32.2228889465332,45.82017517089844,32.50629806518555,35.96309280395508,30.355655670166016,33.6490478515625,31.53322410583496,33.90924072265625,48.4943733215332,57.95078659057617,68.05520629882812,76.02123260498047,77.05021667480469,74.79692077636719,120.72410583496094,101.71320343017578,149.20335388183594,308.6459655761719
