layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.604432,0.562293,0.577959,1.116435,1.395358
1,41.433155,7.736236,20.101246,27.764797,32.038292
2,46.649120,7.515998,26.500175,31.149687,35.225563
3,64.010574,12.561946,33.062851,42.708130,52.723179
4,76.265869,14.094354,37.435760,50.760662,59.782200
5,84.216721,15.693560,41.178539,55.841751,71.621544
6,82.465706,15.068638,39.647610,54.662910,69.512558
7,84.991020,14.422558,40.360386,56.493755,69.161964
8,88.252586,14.301377,41.909607,58.746433,70.366264
9,93.595749,14.834574,45.781528,62.211201,75.002625
10,99.164909,13.664841,50.845070,65.920631,76.429565
11,102.711662,13.518421,53.665623,68.308899,77.142792
12,106.147301,14.085744,56.911526,70.549355,81.646996
13,108.418503,14.987313,59.470501,72.054886,86.074547
14,115.558159,14.406483,67.054024,76.764130,88.913322
15,115.071472,14.960521,69.507698,76.448746,89.437721
16,118.544655,15.222488,75.487953,78.722000,92.177765
17,120.778305,15.448694,78.273041,80.243942,93.830009
18,126.657791,15.823398,82.549080,84.156456,96.405342
19,138.790390,16.600601,93.946503,92.190872,103.118523
20,164.070923,22.829033,110.848747,109.196320,120.685478
21,186.098953,22.925354,123.271080,123.666405,136.691345
22,228.675156,27.838793,168.545151,151.843384,168.456635
23,272.193817,33.539967,184.731018,180.659943,201.360535
24,307.394592,39.572865,226.562454,204.081329,230.542969
25,370.369232,55.065880,290.584015,245.959473,279.190796
26,420.128479,62.133522,348.410522,279.148315,323.101044
27,481.845490,72.910347,450.682159,320.094421,369.800201
28,110.243172,20.566914,79.438850,73.785240,91.009552
