layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.021213,0.000000,0.000000
1,15.182528,4.721663,33.986950,10.160875,17.257011
2,20.598118,5.159591,39.356186,13.760983,20.996233
3,24.599901,4.921131,43.343456,16.347729,23.437317
4,35.803638,6.350135,47.910389,23.839073,30.465258
5,55.627605,6.457427,51.862591,36.837868,44.392742
6,53.664707,5.563656,50.170784,35.531307,41.784538
7,55.859852,5.327018,55.855927,36.975433,42.096642
8,59.690014,5.501606,58.643635,39.494698,43.479393
9,59.783783,5.953454,59.404297,39.527836,43.659920
10,63.288502,6.744245,64.572258,41.803276,49.167301
11,64.465340,6.816698,70.841919,42.586899,49.823933
12,70.550369,6.659340,75.297661,46.605946,53.710403
13,68.675575,6.408785,75.327713,45.378551,51.592625
14,75.267540,6.729412,85.244858,49.743233,57.675690
15,72.225281,6.211102,87.618996,47.743496,56.175346
16,75.077682,7.747211,97.136948,49.577190,60.429867
17,74.737808,7.573520,96.449928,49.368725,58.955914
18,76.011787,7.556079,100.411903,50.229134,58.631618
19,84.852959,8.491824,112.392151,56.060093,65.553574
20,95.581177,9.131707,138.244553,63.217037,74.915215
21,117.857529,9.756518,153.005081,77.984680,87.088058
22,152.048828,13.174483,194.545456,100.541840,115.678711
23,202.261444,17.971405,215.666748,133.866730,153.159988
24,249.450333,20.316320,245.432938,165.133148,186.093460
25,307.371246,29.617929,295.485474,203.465729,234.960281
26,358.953857,36.602932,337.058136,237.698303,267.053772
27,405.992279,42.855465,429.314911,268.620544,313.573090
28,99.663261,14.766041,76.246620,65.923126,84.609749
