layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.038289,0.669469,0.744470,0.790567,1.261846
1,24.071360,11.971663,23.721962,16.956970,29.952564
2,28.988443,11.614828,30.554743,19.964325,33.652634
3,40.749065,13.738405,36.074432,27.951626,44.982742
4,46.856728,15.375338,39.594856,31.894535,52.238785
5,55.468426,16.323198,45.426666,37.550606,58.487381
6,52.290569,15.318398,43.702576,35.467167,53.307613
7,54.092236,15.855124,49.804443,36.749321,55.771133
8,56.862972,15.177809,52.706776,38.576481,56.326054
9,60.482445,15.397350,55.089016,40.991325,57.554195
10,67.879555,15.295142,65.959335,45.796471,63.029861
11,72.172157,14.751062,71.031296,48.634972,63.470871
12,71.330414,15.366419,73.139275,48.137428,63.715225
13,73.252602,16.007099,78.370964,49.480042,65.219032
14,78.412224,16.345617,86.754585,52.926342,69.425652
15,78.815666,16.580490,92.244995,53.217506,70.855621
16,80.984726,17.153254,100.085419,54.672321,73.745918
17,84.186089,17.954336,102.892189,56.923840,75.878906
18,89.914421,20.109444,113.278481,60.916149,79.953125
19,97.534058,21.984947,131.798019,66.129005,86.924568
20,109.932640,26.677759,147.636185,74.598770,103.706924
21,129.164734,29.814108,150.749527,87.245338,129.779724
22,144.636810,34.052120,195.629211,97.780136,143.835144
23,183.381744,44.222450,224.442337,124.051224,186.976151
24,207.741791,52.555264,271.073822,140.965195,212.665985
25,237.519028,61.715107,363.678162,161.210464,247.783432
26,257.974274,65.452011,366.664307,175.139130,265.332794
27,287.390350,70.306053,478.517242,195.079453,289.541473
28,57.842300,16.499069,90.105324,40.018456,51.324078
