prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Japan is, Tokyo,0.118164,14,33.74,5.2589,5.6872,1.1738,103.3813,55.1890,116.9818,0.833495,0.914443,1826.1022
1,Die Hauptstadt von Japan ist, so,0.030029,15,33.34,6.9789,11.6067,1.2177,101.6485,54.1845,117.1779,0.837678,0.914474,1921.6089
2,La capitale du Japon est, __,0.083984,16,33.42,5.3707,6.7842,1.2316,97.6086,53.1497,118.2624,0.835839,0.915807,1921.2216
3,La capital de Japón es, ,0.192383,16,33.27,6.0286,7.2466,1.2144,98.0343,52.9526,119.9582,0.833540,0.914688,2007.0500
4,La capitale del Giappone è,...,0.092773,17,33.45,5.6678,5.7139,1.2266,97.8047,51.9048,116.0884,0.835607,0.915250,1914.6627
5,A capital do Japão é, um,0.073730,16,33.59,6.1664,10.6999,1.1986,99.8970,52.5405,117.2670,0.833875,0.914188,2285.5615
6,Столица Японии —, what,0.106934,17,33.50,5.8557,9.2323,1.1773,97.1451,50.7706,113.0348,0.836599,0.913150,1777.0526
7,日本の首都は,何处,0.179688,12,33.40,6.3270,8.6408,1.1590,101.9675,59.5836,123.3092,0.841046,0.912683,2063.7490
8,日本的首都是,哪个,0.294922,13,33.19,6.0819,5.7270,1.1724,102.1340,57.7433,121.6972,0.841466,0.914653,1928.2629
9,일본의 수도는, ,0.121094,14,33.24,7.3132,10.6390,1.1197,100.4855,55.0472,119.3883,0.839149,0.911301,1968.8896
