layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.059082,0.000000,0.000000
1,12.440475,1.248776,27.933697,8.233046,9.629759
2,15.649551,1.427561,35.309937,10.372707,11.264482
3,16.404915,1.727582,40.261654,10.877248,12.303486
4,18.011099,1.882699,48.579098,11.945079,13.257508
5,24.588884,2.744885,55.794106,16.290455,18.855087
6,23.430634,3.020569,53.439896,15.489213,19.372002
7,26.153433,2.845844,56.438877,17.319386,20.268328
8,32.211212,3.125688,59.266258,21.336864,24.900551
9,34.537693,3.117403,62.532150,22.882830,25.196686
10,41.182671,3.663418,74.672745,27.244812,30.973183
11,45.383186,4.441092,79.877258,29.997570,34.753323
12,45.820580,4.327583,81.481926,30.305290,34.550102
13,45.940681,4.318624,83.489120,30.383640,34.774620
14,51.905186,5.011536,97.088356,34.310768,38.863922
15,53.144646,6.035203,104.638214,35.108192,40.712757
16,55.736240,5.808796,103.315277,36.832245,41.636959
17,54.665836,5.597959,105.743149,36.139053,41.056759
18,57.190601,6.569674,111.772133,37.775520,43.963787
19,60.886620,7.066608,127.345001,40.186817,47.323479
20,64.082603,7.252591,139.125443,42.314995,49.829983
21,78.551323,9.597322,158.596863,51.842880,63.938808
22,99.193497,15.484088,215.736038,65.351311,90.826889
23,120.304771,17.966103,237.269363,79.238602,106.706711
24,170.635468,28.722115,287.261444,112.358681,160.984726
25,204.428223,33.848736,362.409393,134.632263,190.289597
26,224.381378,38.031418,404.744965,147.711731,210.609558
27,256.970123,43.165718,493.926575,169.158081,241.506546
28,58.617626,11.907490,101.453705,38.511158,57.628067
