layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.569700,0.552090,0.568584,1.094469,1.379927
1,40.778252,8.931644,19.888454,27.473495,33.933083
2,45.820156,8.669796,26.946758,30.698208,37.964138
3,62.256859,13.058510,32.565758,41.746853,48.288906
4,72.950813,13.823096,36.150322,48.742126,56.601395
5,80.224464,14.054096,40.043854,53.367386,64.386856
6,78.936424,14.116736,39.287231,52.492641,66.551804
7,82.538879,14.471096,41.309975,54.952469,69.541672
8,87.223709,13.689654,43.313282,58.076172,69.018593
9,94.613510,14.494990,48.297432,62.912567,76.852440
10,100.132309,14.827594,52.971420,66.612366,81.729469
11,102.351364,14.495852,55.657623,68.143211,78.860802
12,105.685287,14.408683,60.320999,70.335846,79.404617
13,107.943192,14.917709,63.436443,71.847046,80.318024
14,114.855209,14.862971,71.070450,76.366318,85.037125
15,113.139038,15.243900,73.338661,75.246231,84.767036
16,115.468895,15.245724,77.664253,76.787384,85.518288
17,118.722122,15.839173,80.110588,79.029694,87.354515
18,123.517517,17.134056,83.467979,82.261696,91.068443
19,133.594818,17.914917,93.355721,88.974174,96.232353
20,155.586197,24.475952,110.998116,103.735580,115.268112
21,173.409164,25.799761,122.251442,115.665756,125.693443
22,210.564774,31.647829,168.055237,140.441116,153.862473
23,248.789078,38.501465,186.016510,165.859634,187.104828
24,277.005310,43.524487,226.423325,184.793365,210.253021
25,333.788879,57.802368,288.704163,222.726852,256.690338
26,376.724548,65.995445,335.674408,251.290955,292.111328
27,435.888611,76.334862,423.912201,290.977142,331.933990
28,109.584419,21.287457,77.072098,73.362640,92.882484
