prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,2 + 2 =, ,0.832031,5,37194.08,4.0619,1.4483,1.5076,187.0216,184.6383,360.2940,0.936951,0.962435,8476.6670
1,1 + 3 =, ,0.976562,5,32282.83,3.2013,0.3123,1.5502,178.8393,207.2762,363.5793,0.945403,0.964929,8413.3232
2,8 - 4 =, ,0.957031,5,35770.16,3.5260,0.5056,1.6048,175.4564,210.9116,368.8376,0.941526,0.962791,8550.7715
3,8 / 2 =, ,0.933594,5,40609.85,3.0028,0.6805,1.5716,172.6800,211.4890,372.9104,0.941441,0.959260,8437.2500
4,2 * 2 =, ,0.953125,5,40734.88,3.7088,0.5172,1.5211,183.5494,210.3378,383.5826,0.934235,0.963843,8149.1230
5,The result of adding 2 and 2 is, ,0.683594,10,34356.97,2.6827,2.6139,1.5682,197.0188,139.5505,288.1398,0.939593,0.954305,7668.7017
6,If you add one and three you get, four,0.906250,8,38334.40,3.2344,0.8327,1.7379,185.7537,174.5792,328.3690,0.941024,0.957305,8428.7734
7,Two plus two equals, four,0.730469,4,46813.72,2.9543,1.8974,1.6480,181.7283,280.8297,434.1974,0.940957,0.959856,8958.9824
8,Four minus zero is, four,0.777344,4,40584.26,3.4906,1.9008,1.6113,191.4523,267.4474,425.4895,0.941265,0.963824,9040.6992
9,The square root of sixteen is, four,0.785156,6,37927.55,2.2756,1.6615,1.6523,192.1161,204.2080,355.3350,0.945630,0.962131,8844.4951
