prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Japan is, Tokyo,0.527344,5,19802.22,3.6934,3.9160,1.6730,177.2982,238.2304,386.4879,0.942321,0.963359,8246.2432
1,Die Hauptstadt von Japan ist, Tok,0.355469,6,19551.96,4.7810,4.6211,1.4786,197.2473,192.8928,350.5933,0.936831,0.960553,8626.0645
2,La capitale du Japon est, Tokyo,0.601562,7,22750.76,4.0627,3.6821,1.5819,173.5248,177.9550,346.1711,0.936437,0.963310,9155.3145
3,La capital de Japón es, Tok,0.664062,7,22411.69,4.4449,3.4129,1.6836,178.5909,178.0084,346.8358,0.936669,0.962843,8996.6328
4,La capitale del Giappone è, Tokyo,0.664062,8,23684.17,3.7678,3.2868,1.5873,164.2622,162.6759,326.7348,0.935921,0.960711,9142.2109
5,A capital do Japão é, T,0.585938,7,22788.77,4.0605,3.9878,1.7051,169.4642,185.0284,350.4226,0.935751,0.960601,9134.4531
6,Столица Японии —, Т,0.503906,8,23010.68,3.7094,3.4755,1.4583,189.2802,164.5158,317.2735,0.932904,0.959928,8694.3057
7,日本の首都は,東,0.353516,3,22998.09,4.9980,4.9076,1.4073,202.3523,349.8087,495.3639,0.939633,0.966029,8681.6006
8,日本的首都是,哪里,0.355469,4,23412.25,5.0208,3.3491,1.6423,160.9588,272.9183,418.1363,0.939070,0.963219,8194.6670
9,일본의 수도는,哪里,0.243164,5,23370.01,6.1913,3.9191,1.4250,202.6225,221.9820,380.4937,0.940070,0.965151,8463.3701
