prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028,layer_029,layer_030,layer_031,layer_032,layer_033,layer_034,layer_035,layer_036,layer_037,layer_038,layer_039,layer_040,layer_041,layer_042,layer_043,layer_044,layer_045,layer_046,layer_047,layer_048,layer_049,layer_050,layer_051,layer_052,layer_053,layer_054,layer_055,layer_056,layer_057,layer_058,layer_059,layer_060,layer_061,layer_062,layer_063,layer_064
0,0,The,1.8311065435409546,68.87861633300781,116.99182891845703,147.75498962402344,143.66641235351562,17461.087890625,27347.548828125,30426.33984375,30426.119140625,30579.337890625,30579.0625,30808.470703125,30808.435546875,30884.90234375,30884.5546875,30883.94140625,30887.521484375,30886.98828125,30886.357421875,30886.478515625,30891.03515625,30890.80078125,30890.908203125,30971.341796875,30972.16015625,30972.1953125,30972.958984375,30972.75390625,30974.82421875,30975.947265625,30976.55078125,30976.693359375,30978.046875,30980.52734375,31058.79296875,31060.623046875,31233.2265625,31235.61328125,31389.203125,31788.732421875,31953.708984375,32107.947265625,32262.5859375,32452.70703125,32445.455078125,32444.5078125,32443.880859375,32443.244140625,32442.5625,32442.234375,32437.892578125,32435.361328125,32435.02734375,32431.935546875,32430.166015625,32429.359375,32428.708984375,32270.859375,32111.02734375,31868.087890625,31151.521484375,24363.6328125,22462.380859375,18167.64453125,148.0642547607422
0,1, capital,1.621339201927185,73.4139633178711,80.86528778076172,86.80694580078125,93.65216827392578,113.62550354003906,124.52184295654297,135.81512451171875,151.7020263671875,178.12210083007812,196.94654846191406,217.34368896484375,227.89346313476562,225.08323669433594,229.31333923339844,229.3570098876953,229.00344848632812,232.086181640625,233.1477813720703,236.18051147460938,241.39480590820312,245.76986694335938,247.40951538085938,250.25189208984375,252.29318237304688,252.24819946289062,253.0107421875,257.5375061035156,257.62017822265625,260.1845703125,262.6625671386719,278.881591796875,284.0656433105469,287.0885925292969,290.59625244140625,296.1307373046875,300.517822265625,300.89935302734375,297.88995361328125,301.4746398925781,308.1381530761719,316.7948913574219,314.1592102050781,316.1161804199219,325.135009765625,343.2243957519531,354.3625793457031,381.3758850097656,389.5414733886719,409.8019104003906,491.9460144042969,528.7299194335938,608.4642944335938,652.9038696289062,718.1590576171875,772.7240600585938,848.8546142578125,915.9302368164062,997.2483520507812,1070.6575927734375,1174.8720703125,1285.7830810546875,1570.0665283203125,2169.047607421875,194.6036834716797
0,2, of,1.5765060186386108,60.58122253417969,67.0758285522461,69.55490112304688,75.45496368408203,91.33956146240234,100.51615142822266,107.00152587890625,114.94652557373047,144.61837768554688,165.77732849121094,178.12281799316406,186.04415893554688,189.68389892578125,196.13430786132812,200.76260375976562,206.67820739746094,212.77806091308594,218.36837768554688,218.87344360351562,225.77938842773438,232.55905151367188,236.0012969970703,236.46176147460938,234.27525329589844,234.10464477539062,238.93463134765625,246.89881896972656,251.57415771484375,255.44338989257812,260.507568359375,265.9089050292969,266.6881408691406,273.8539123535156,275.7216796875,282.0191955566406,285.20379638671875,286.6899108886719,288.16473388671875,290.8049011230469,291.6583251953125,299.28106689453125,298.62628173828125,304.1590881347656,308.7228088378906,333.3387756347656,341.9583435058594,359.80621337890625,383.2015686035156,417.13812255859375,468.41595458984375,503.9620361328125,556.5792236328125,605.5396118164062,653.4004516601562,706.8942260742188,758.2511596679688,814.6875610351562,883.7136840820312,965.6597900390625,1070.9632568359375,1201.61865234375,1463.1407470703125,2036.89013671875,186.5869140625
0,3, Japan,1.5774108171463013,58.663631439208984,64.8411636352539,74.32630920410156,81.79999542236328,93.19771575927734,121.81851959228516,135.3006591796875,143.83670043945312,158.80923461914062,170.27835083007812,166.2440185546875,166.63780212402344,168.62548828125,174.7813720703125,182.49119567871094,198.80442810058594,203.89102172851562,208.34591674804688,207.4148406982422,211.45289611816406,217.5961151123047,223.83807373046875,227.1516876220703,222.8682098388672,224.1832275390625,227.84368896484375,231.962158203125,236.58338928222656,248.0418243408203,250.70953369140625,251.91256713867188,254.052490234375,259.083740234375,262.3923034667969,263.871826171875,274.7552185058594,288.85894775390625,285.5892028808594,303.2785949707031,302.0433654785156,309.13201904296875,308.3235168457031,315.46710205078125,339.7760009765625,376.5149230957031,405.25537109375,422.76849365234375,440.6437683105469,474.537841796875,531.2516479492188,544.95654296875,587.3471069335938,619.00732421875,667.14892578125,702.19140625,767.9259643554688,847.7703857421875,914.337646484375,985.2472534179688,1095.935546875,1197.4031982421875,1449.4793701171875,2171.675048828125,207.8261260986328
0,4, is,1.7586857080459595,49.64830017089844,63.35560607910156,68.33145141601562,73.52565002441406,86.4964370727539,98.9775161743164,107.74578857421875,115.95111846923828,125.00700378417969,146.8643035888672,158.85902404785156,166.12490844726562,171.38302612304688,177.61758422851562,182.39466857910156,193.5959014892578,204.88067626953125,204.4460906982422,201.65357971191406,204.9928741455078,213.81753540039062,218.1265869140625,219.5720672607422,215.89752197265625,219.140380859375,226.94956970214844,238.01528930664062,243.219970703125,251.7323760986328,256.2461853027344,252.19493103027344,251.6588897705078,256.3296813964844,260.2589111328125,257.8655700683594,258.48175048828125,269.197509765625,274.2403869628906,280.3316650390625,280.68609619140625,296.97125244140625,295.5098571777344,304.7722473144531,317.59906005859375,341.11529541015625,359.83221435546875,370.96337890625,388.9660949707031,418.03302001953125,463.6275634765625,488.4951171875,549.5658569335938,589.4268188476562,652.2620849609375,702.9049072265625,780.2852783203125,861.402587890625,929.5767211914062,1014.5750732421875,1121.5869140625,1278.198974609375,1520.1417236328125,2130.93359375,149.40988159179688
1,0,Die,1.4808142185211182,84.90892791748047,99.70793151855469,118.68722534179688,131.1660614013672,14428.6796875,24331.03125,27410.3203125,27448.177734375,27564.171875,27563.9609375,27793.033203125,27793.166015625,27870.22265625,27869.91015625,27869.369140625,27873.630859375,27873.083984375,27872.53125,27872.689453125,27877.25390625,27876.986328125,27877.13671875,27957.779296875,27958.640625,27958.732421875,27959.482421875,27959.271484375,27961.38671875,27962.59765625,27963.2265625,27963.39453125,27964.81640625,27967.357421875,28045.826171875,28047.7109375,28220.673828125,28222.6640625,28376.77734375,28776.37109375,28941.560546875,29096.16015625,29251.62109375,29441.439453125,29436.146484375,29435.24609375,29434.650390625,29434.171875,29433.59765625,29433.15234375,29428.904296875,29427.1015625,29426.98828125,29424.07421875,29421.419921875,29420.123046875,29418.478515625,29260.990234375,29101.509765625,28857.923828125,28297.365234375,21835.8671875,20046.8125,16617.021484375,168.24082946777344
1,1, Haupt,1.3164708614349365,77.04814910888672,81.9392318725586,88.9608154296875,108.29168701171875,126.15508270263672,137.10008239746094,169.87503051757812,172.7415313720703,177.8643341064453,198.7921600341797,206.47520446777344,212.33837890625,224.46046447753906,234.09861755371094,241.1278533935547,242.6525421142578,246.8018035888672,250.79869079589844,258.7017517089844,261.4424133300781,262.19415283203125,261.80377197265625,261.6517028808594,260.8709411621094,258.8672180175781,258.1404724121094,257.44989013671875,254.1845703125,258.223876953125,257.04486083984375,257.1605224609375,262.56219482421875,268.2101135253906,275.1015319824219,276.93402099609375,275.74713134765625,274.6542053222656,269.8227233886719,277.9474792480469,287.5120544433594,305.3540344238281,301.9918518066406,299.27001953125,302.8963928222656,321.7834167480469,328.1842041015625,343.64385986328125,360.62139892578125,375.73175048828125,428.22802734375,465.1573181152344,533.8810424804688,606.5287475585938,682.5270385742188,741.2364501953125,811.451171875,889.7026977539062,964.3200073242188,1034.7958984375,1158.7855224609375,1277.3204345703125,1558.9342041015625,2063.85009765625,206.8623809814453
1,2,stadt,1.3747926950454712,67.78315734863281,72.4765625,78.13740539550781,95.14322662353516,123.80902099609375,136.85714721679688,165.55384826660156,166.0406951904297,178.59249877929688,183.63491821289062,184.11923217773438,188.6329803466797,200.63436889648438,204.66598510742188,212.90638732910156,226.0131072998047,231.28916931152344,234.85400390625,233.1061553955078,239.67324829101562,243.65997314453125,248.5980224609375,251.26425170898438,249.14566040039062,249.26431274414062,253.810302734375,259.8084716796875,266.3620300292969,275.8509521484375,283.7281799316406,285.8935241699219,290.3121032714844,296.81414794921875,297.0899353027344,297.80169677734375,300.1107177734375,304.3237609863281,303.78204345703125,312.20263671875,323.9436340332031,337.4325866699219,333.3994445800781,337.7068786621094,342.8616638183594,367.954345703125,392.56341552734375,400.6473693847656,421.562255859375,445.9659118652344,482.0946350097656,502.4231872558594,563.0841064453125,596.4178466796875,639.81005859375,684.0012817382812,745.1582641601562,852.3023071289062,922.0216064453125,1027.3382568359375,1176.899169921875,1334.2548828125,1635.4952392578125,2295.993408203125,215.4481658935547
1,3, von,1.5940535068511963,61.489227294921875,68.15503692626953,76.74675750732422,86.2076644897461,94.80424499511719,108.6053695678711,112.5857162475586,115.64981842041016,119.56209564208984,143.87326049804688,151.68099975585938,167.14064025878906,179.74676513671875,187.31532287597656,201.32049560546875,211.14535522460938,217.76719665527344,219.78396606445312,219.2921905517578,220.55584716796875,224.80801391601562,229.2660675048828,229.87620544433594,226.6468048095703,228.4054718017578,232.45089721679688,238.083251953125,247.55023193359375,245.15640258789062,246.6024932861328,244.31080627441406,248.84971618652344,254.63211059570312,263.072265625,265.57794189453125,256.82696533203125,264.2321472167969,263.3262939453125,275.189453125,279.03155517578125,287.9439392089844,283.3423767089844,286.8258361816406,292.56024169921875,311.5379333496094,323.2624206542969,337.2823791503906,359.58514404296875,384.0415954589844,420.576171875,447.3692932128906,484.4122314453125,521.4916381835938,575.5810546875,626.927001953125,698.6674194335938,797.6218872070312,888.86181640625,999.7526245117188,1169.044189453125,1366.9918212890625,1660.8680419921875,2177.7470703125,205.78701782226562
1,4, Japan,1.5774108171463013,63.43360900878906,70.43346405029297,78.97740173339844,91.24099731445312,101.39042663574219,131.7566375732422,142.59255981445312,151.61253356933594,167.34156799316406,181.7843017578125,178.6919403076172,179.40611267089844,180.45877075195312,185.0656280517578,189.90777587890625,198.1543426513672,201.18255615234375,204.9112091064453,207.21636962890625,212.22471618652344,220.4407501220703,225.00074768066406,228.23214721679688,225.13735961914062,227.2741241455078,232.27223205566406,234.09130859375,241.61782836914062,255.38400268554688,258.849609375,262.7820129394531,265.70819091796875,267.9320983886719,272.4001770019531,272.21917724609375,277.9245910644531,291.5772705078125,288.8780517578125,301.283935546875,298.58978271484375,307.8797607421875,303.0550231933594,303.6917724609375,322.8846130371094,358.04827880859375,379.4766845703125,395.8688659667969,416.9837341308594,446.371337890625,490.6730651855469,491.393798828125,536.0355224609375,559.61962890625,608.5517578125,637.939453125,694.1331787109375,783.0536499023438,845.6239013671875,927.3959350585938,1078.2091064453125,1208.513916015625,1428.6180419921875,2012.01513671875,193.16842651367188
