layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.758685,0.000000,0.000000
1,12.216104,1.239398,49.117165,8.247114,10.181100
2,12.443670,1.241767,62.295654,8.401643,10.256489
3,13.650224,1.370555,67.357086,9.216886,11.099508
4,15.191393,1.392906,72.126671,10.265216,11.879552
5,19.603647,2.049840,84.873505,13.256774,17.176226
6,19.970673,2.201229,98.057388,13.500221,17.783195
7,22.466648,3.311362,106.969765,15.162581,22.540491
8,24.527222,3.813148,115.429070,16.559137,24.941553
9,24.298506,4.405399,124.705971,16.389204,26.302422
10,34.899029,5.034791,145.945419,23.584669,34.141117
11,48.096802,5.178599,155.273117,32.538891,40.998520
12,53.625950,5.950218,162.508286,36.265602,44.595085
13,60.380432,8.029562,167.588730,40.787579,54.071896
14,72.124359,9.833622,171.658051,48.779434,64.309723
15,76.164825,11.924767,177.613922,51.485691,71.042389
16,77.238159,11.824347,188.775787,52.252533,71.421463
17,78.035629,12.092183,197.521225,52.789394,72.876999
18,79.354691,12.060039,198.011642,53.712193,72.808601
19,78.036926,12.080957,196.014633,52.819248,72.133293
20,79.066322,12.717159,201.405136,53.531082,73.118492
21,80.525520,13.447272,209.171478,54.516460,75.555855
22,80.643677,13.905080,213.014206,54.579678,77.290207
23,80.755692,14.298725,214.944611,54.643616,78.263374
24,79.127319,14.122017,211.221649,53.538013,76.581200
25,79.217247,14.216558,213.659943,53.614918,76.704414
26,79.745239,14.248016,220.376801,53.969254,76.918198
27,82.319458,14.438650,230.730545,55.716797,78.018074
28,82.983643,14.518684,235.369904,56.164902,77.840240
29,83.668037,14.193516,243.109833,56.639957,76.557411
30,85.474625,14.437323,247.127075,57.848690,77.767365
31,84.323364,14.348181,243.657471,57.086308,76.057541
32,83.439423,14.504739,245.421539,56.476910,74.572090
33,80.014114,13.959088,252.221283,54.170742,72.047188
34,80.705086,14.324372,257.187927,54.682972,73.517845
35,80.052460,14.367493,256.333466,54.215714,73.559105
36,79.640144,15.225923,257.731232,53.882648,75.788956
37,77.890961,15.473924,269.298553,52.663364,75.506256
38,77.285561,15.672362,272.855164,52.215786,76.225273
39,76.255318,15.942163,278.085815,51.484386,77.222229
40,76.234673,15.835440,278.869995,51.481792,76.255272
41,77.752579,16.385971,293.496887,52.494602,77.383133
42,78.768204,16.681049,291.380859,53.182774,77.592278
43,81.065483,17.324936,298.491058,54.711590,80.707169
44,81.780617,17.476496,309.114624,55.163448,82.204117
45,81.676666,17.508026,332.654297,55.073532,82.898071
46,84.332466,18.404417,351.799896,56.845333,85.391861
47,86.006805,18.861162,362.954163,57.922482,87.483147
48,94.453842,21.062471,381.970184,63.586536,96.602234
49,102.774193,22.438190,408.826752,69.225243,104.326492
50,115.740311,25.437031,454.790863,77.973991,118.190376
51,132.651184,25.747469,478.690582,89.476501,128.447983
52,183.517349,25.272717,534.923767,124.065742,159.585175
53,219.549362,25.861559,572.020447,148.573486,180.342117
54,251.995560,32.600357,621.906616,170.307632,225.701782
55,287.625092,41.394276,667.061279,194.311905,266.130585
56,347.844482,48.818687,725.067993,234.795090,311.353210
57,471.554901,53.531376,777.210022,318.622711,413.789948
58,539.915588,56.278568,828.582092,364.980225,460.709229
59,602.113586,58.923080,892.788147,407.099854,499.427734
60,669.417297,64.463127,990.901794,452.485565,546.772949
61,729.337341,63.011387,1131.112427,493.137115,576.214111
62,795.151978,66.972397,1363.599609,537.680054,620.382812
63,881.121094,71.117226,2017.509644,596.007019,669.578613
64,73.499405,8.317343,143.838043,49.676708,62.452782
